id,address,city,company_name,contact_name,employee,fax_number,gender,major_division_description,phone,state,sales,sic_2_code_description,sic_4_code,category,title,url,mon_from,mon_to,tue_from,tue_to,wed_from,wed_to,thu_from,thu_to,fri_from,fri_to,sat_from,sat_to,sun_from,sun_to,zip_code,longitude,latitude
1300,"46 saunders dr","Quispamsis","Studio 46 Guitars Inc.","Michael Levesque","3",,,"Retail Trade","5068475020","NB","500000","Home Furniture, Furnishings and Equipment Stores","5736","Musical instrument stores","Owner",,,,,,,,,,,,,,,,"E2E1J4","-65.989133","45.436204"
1301,"370a dover st","Campbellton","Hertz Rent A Car","Audrey Vlomquist",,"5067536204",,"Services","5066842269","NB",,"Automotive Repair, Services and Parking","7514","Passenger car rental","Manager",,,,,,,,,,,,,,,,"E3N3M7","-66.692737","47.993187"
1302,"1116 mountain rd","Moncton","Bhalla, Dinesh Md","Dinesh Bhalla","1 to 4",,"M","Services","5063834708","NB","$1 to 2.5 million","Health Services","8011","Offices and clinics of medical doctors",,,,,,,,,,,,,,,,,"E1C2T3","-64.821368","46.105454"
1303,"7 dominion st","Moncton","Big East Promotions",,,,,"Services",,"NB",,"Business Services","7313","Radio, television, publisher representatives",,,,,,,,,,,,,,,,,"E1C6G4","-64.789316","46.095293"
1304,"161 main st suite 3","Fredericton","Ocean Electric Ltd",,,,,"Construction",,"NB",,"Construction - Special Trade Contractors","1711","Plumbing, heating, air-conditioning",,,,,,,,,,,,,,,,,"E3A1C6","-66.654874","45.978863"
1305,"Po box 6428 rpo brunswick","Saint john","W. H. Hayward Co.","Rachel Bourgoin","3","5066581201",,"Retail Trade","5066539061","NB","500000","Miscellaneous Retail","5947","Gift, novelty, and souvenir shop","Manager",,,,,,,,,,,,,,,,"E2L4R8","-66.054027","45.278721"
1306,"303 main st","St martins","St Martins Country Inn","Albert Le Clair","5 to 9","5068334725","M","Services","5068334534","NB","$500,000 to $1 million","Hotels, Rooming Houses, Camps, and Other Lodging","7011","Hotels and motels","Owner",,,,,,,,,,,,,,,,"E5R1C1","-65.539282","45.353808"
1307,"15 rue costello","Edmundston","Alcoholics Anonymous","Guy Clavete","1 to 4",,"M","Services","5067354500","NB","Less than $500,000","Amusement and Recreation Services","7997","Membership sports and recreation clubs","Manager",,,,,,,,,,,,,,,,"E3V3Y4","-68.327667","47.364013"
1308,"195 boul j d gauthier","Shippagan","Salon Coiffure Shippigan","Kim Mallet","1 to 4",,"F","Services","5063360990","NB","Less than $500,000","Personal Services","7231","Beauty shops","Owner",,,,,,,,,,,,,,,,"E8S1M9","-64.714335","47.744687"
1309,"1-1 market sq","Saint john","A & W. All-American Food","Margaret Mc Devitt","6","5066421007",,"Retail Trade","5066421004","NB","316000","Eating and Drinking Places","5812","Eating places","Manager",,,,,,,,,,,,,,,,"E2L4Z6","-66.066342","45.259799"
1310,"3113 rue principale","Tracadie-sheila","Mc Graw Seafood Ltd","Paul Boudreau","50 to 99","5063952821","M","Manufacturing","5063953374","NB","$20 to 50 million","Food and Kindred Products","2091","Canned and cured fish and seafoods","Owner",,,,,,,,,,,,,,,,"E1X1A2","-64.918535","47.535257"
1311,"33 manor rd","St george","United Pentecostal Church","John Nickerson","1 to 4",,"M","Services","5067553291","NB",,"Membership Organizations","8661","Religious organizations","Religious Leader",,,,,,,,,,,,,,,,"E5C3N6","-66.831269","45.129796"
1312,"264 rue principale","Nigadoo","Camping Hache","Ronald Leblanc","5 to 9","5067833739","M","Services","5067833739","NB","$1 to 2.5 million","Hotels, Rooming Houses, Camps, and Other Lodging","7033","Trailer parks and campsites","Owner",,,,,,,,,,,,,,,,"E8K3T3","-65.713353","47.745651"
1313,"15 lewis st","Moncton","Downtown Quality Dry Cleaners","Brian Ritchie","1 to 4",,"M","Services","5068569198","NB","Less than $500,000","Personal Services","7212","Garment pressing and cleaners' agents","Owner",,,,,,,,,,,,,,,,"E1C4S3","-64.773349","46.090274"
1314,"301-500 beaverbrook crt","Fredericton","Alzheimer Society Of Se. Nb","Inge Quinn","3","5067372292",,"Finance, Insurance, And Real Estate","5066226470","NB","500000","Real Estate","6531","Real estate agents and managers","Owner",,,,,,,,,,,,,,,,"E3B5X4","-66.647347","45.954394"
1315,"933 salisbury rd","Moncton","Grew Ventures Inc",,,,,"Services",,"NB",,"Educational Services","8221","Colleges and universities",,,,,,,,,,,,,,,,,"E1E1C4","-64.850167","46.060698"
1316,"700 tripp settlement rd","Keswick ridge","D & P Contractors","Peter Henry","1 to 4",,"M","Construction","5063632619","NB","$500,000 to $1 million","Construction - Special Trade Contractors","1771","Concrete work","Owner",,,,,,,,,,,,,,,,"E6L1X2","-66.887263","46.038537"
1317,"78 rue principale","Riviere-verte","Police","Guy Jacques",,"5062631054",,"Public Administration","5062631050","NB",,"Justice, Public Order, and Safety","9221","Police protection","Manager",,,,,,,,,,,,,,,,"E7C2T8","-68.150866","47.323702"
1318,"5925 route 10","Hardwood ridge","Ridgeview Greens & Golf Club","Margaret Clark","3",,,"Services","5063273535","NB","500000","Amusement and Recreation Services","7992","Public golf courses","Manager",,,,,,,,,,,,,,,,"E4A1B4","-66.069718","46.187301"
1319,"275 main st","Bathurst","Banque De Developpement Du Canada","Claude Pare'",,"5065487381",,"Finance, Insurance, And Real Estate","5065487360","NB",,"Depository Institutions","6021","National commercial banks","Manager",,,,,,,,,,,,,,,,"E2A1A9","-65.652833","47.620796"
1320,"601 prospect st","Fredericton","Speedy Communications","Ross Smythe","5 to 9","5064589769","M","Wholesale Trade","5064585444","NB","$5 to 10 million","Wholesale Trade - Durable Goods","5065","Electronic parts and equipment, nec","Manager",,,,,,,,,,,,,,,,"E3B6B8","-66.682764","45.948244"
1321,"2619 route 120","St-hilaire","Rosco Vidangeur",,,,,"Wholesale Trade",,"NB",,"Wholesale Trade - Durable Goods","5093","Scrap and waste materials",,,,,,,,,,,,,,,,,"E3V4T7","-68.431844","47.297687"
1322,"640 route 774","Welshpool","Campobello Lodge Inc","Sherry Johnston","20 to 49","5067527105","F","Services","5067527101","NB","$1 to 2.5 million","Health Services","8051","Skilled nursing care facilities","Administrator",,,,,,,,,,,,,,,,"E5E1A5","-66.957958","44.874329"
1323,"9256 route 2","Dsl de grand-sault/f","Savage Farms Ltd","David Savage","10 to 19","5064751633","M","Wholesale Trade","5064734444","NB","$10 to 20 million","Wholesale Trade - Nondurable Goods","5148","Fresh fruits and vegetables","Owner",,,,,,,,,,,,,,,,"E3Z1R2","-67.742005","47.042397"
1324,"103 bloor st","Fredericton","Church Of Christ Fredericton","Geoffrey Conley","1 to 4",,"M","Services","5064720071","NB",,"Membership Organizations","8661","Religious organizations","Religious Leader",,,,,,,,,,,,,,,,"E3A2K3","-66.644917","45.978076"
1325,"988 champlain st","Dieppe","Jade Media Group","Robert Sissons","1 to 4",,"M","Services","5068531096","NB","$500,000 to $1 million","Motion Pictures","7812","Motion picture and video production","President",,,,,,,,,,,,,,,,"E1A1P8","-64.711363","46.102978"
1326,"225 av king","Bathurst","Boutique Identite Plus",,"7",,,"Retail Trade","5065468887","NB","1500000","Apparel and Accessory Stores","5621","Women's clothing stores",,,,,,,,,,,,,,,,,"E2A1N9","-65.653766","47.620748"
1327,"2846 route 113","Shippagan","St-Laurent, Chantal Dds","Chantal St-Laurent","1 to 4",,"F","Services","5063364939","NB","$500,000 to $1 million","Health Services","8021","Offices and clinics of dentists",,,,,,,,,,,,,,,,,"E8S3E1","-64.729797","47.728252"
1328,"300 main st","Moncton","Reitmans","Gaston Frigaut","15",,,"Retail Trade","5063944515","NB","750000","Eating and Drinking Places","5812","Eating places","Owner",,,,,,,,,,,,,,,,"E1C1B9","-64.765159","46.092647"
1329,"4 doyle dr","Oromocto","Renforth Auto Ctr","Daryl Winchester","3","5068531425",,"Public Administration","5068542761","NB",,"Executive, Legislative & General Government, Exce","9121","Legislative bodies","Manager",,,,,,,,,,,,,,,,"E2V2V3","-66.506534","45.841716"
1330,"425 king ave","Bathurst","Krt. & Assoc.","Leise Eagle","35",,,"Services","5065465466","NB","1500000","Health Services","8082","Home health care services","Manager",,,,,,,,,,,,,,,,"E2A1P6","-65.652633","47.617979"
1331,"530 rue principale","Petit-rocher","Foyer De Soins Chez Carole Inc","Carole Fournier","10 to 19","5067839001","F","Services","5067839009","NB","$500,000 to $1 million","Health Services","8051","Skilled nursing care facilities","Executive Director",,,,,,,,,,,,,,,,"E8J1P6","-65.720478","47.787526"
1332,"1050 mclaughlin dr","Moncton","G & G Realty Ltd","Grant Frizzell","1 to 4","5068551161","M","Finance, Insurance, And Real Estate","5063843434","NB","$500,000 to $1 million","Real Estate","6552","Subdividers and developers, nec","Owner",,,,,,,,,,,,,,,,"E1G3R2","-64.809668","46.168985"
1333,"39 king st, ste b12","Saint john","Jay Set Fashion Outlet","Isabelle Young",,,,"Retail Trade","5066581305","NB",,"Apparel and Accessory Stores","5621","Women's clothing stores","Manager",,,,,,,,,,,,,,,,"E2L4W3","-66.060982","45.273233"
1334,"9d willow lane","Sackville","All Of You Aesthetics & Spa","Nicole Mac William","1 to 4",,"F","Services","5065360044","NB","Less than $500,000","Personal Services","7231","Beauty shops","Owner",,,,,,,,,,,,,,,,"E4L4P4","-64.367060","45.897463"
1335,"212 queen st","Fredericton","Insurance Brokers Assn. Of Nb","Linda Dawe","2","5064501494",,"Finance, Insurance, And Real Estate","5064502898","NB","1032000","Insurance Agents, Brokers and Service","6411","Insurance agents, brokers, and service","C",,,,,,,,,,,,,,,,"E3B1A7","-66.646544","45.964359"
1336,"732 ch du pouvoir","Saint-basile","Services Financiers Mlm Enr","Marcel Michaud","1 to 4","5067399668","M","Finance, Insurance, And Real Estate","5067399668","NB","$500,000 to $1 million","Insurance Agents, Brokers and Service","6411","Insurance agents, brokers, and service","Owner",,,,,,,,,,,,,,,,"E7C1Z4","-68.292294","47.390979"
1337,"181 brunswick st","Fredericton","Management Services Ltd","J Burgess","1 to 4",,"M","Services","5064511164","NB","Less than $500,000","Engineering, Accounting, Research, Management & R","8742","Management consulting services","Owner",,,,,,,,,,,,,,,,"E3B1G7","-66.648784","45.962947"
1338,"64 champlain st","Dieppe","Champlain Irving Cnvnc Store","Joanne Hayden","20 to 49","5068547702","F","Retail Trade","5068556820","NB","$5 to 10 million","Food Stores","5411","Grocery stores","Manager",,,,,,,,,,,,,,,,"E1A1N3","-64.755388","46.094180"
1339,,"Loggieville","R.W.Kelly & Sons Ltd.",,,,,"Services",,"NB",,"Automotive Repair, Services and Parking","7549","Automotive services, nec",,,,,,,,,,,,,,,,,"E0C1L0","-65.374356","47.062458"
1340,"130 st. andrew st","Bathurst","Coronation Park Elementary","Joan Wilson","20 to 49","5065477403","F","Services","5065472755","NB",,"Educational Services","8211","Elementary and secondary schools","Principal",,,,,,,,,,,,,,,,"E2A1C2","-65.652812","47.618051"
1341,"733 main st #2","Woodstock","Legacy Assoc Inc","Ronald Wilson","1 to 4","5063288313","M","Finance, Insurance, And Real Estate","5063288626","NB","$1 to 2.5 million","Security & Commodity Brokers, Dealers, Exchanges","6211","Security brokers and dealers","President",,,,,,,,,,,,,,,,"E7M2E6","-67.572519","46.153347"
1342,"180 simms crt","Saint john","Atlantic Province Trowel Trade","Alfred Vautour","1 to 4","5066350785","M","Services","5066331711","NB",,"Membership Organizations","8611","Business associations","Manager",,,,,,,,,,,,,,,,"E2M5K5","-66.096109","45.250640"
1343,"45 31e av","Edmundston","Centre Recrearif Les Calinours",,,,,"Services","5067378702","NB",,"Social Services","8351","Child day care services",,,,,,,,,,,,,,,,,"E3V2R6","-68.319635","47.369186"
1344,"552 aboujagane rd","Haute-aboujagane","A-1 Hardwood Floor","Gerald Leblanc","5 to 9",,"M","Construction","5065323637","NB","$500,000 to $1 million","Construction - Special Trade Contractors","1752","Floor laying and floor work, nec","Owner",,,,,,,,,,,,,,,,"E4P5M8","-64.407860","46.125678"
1345,"68 av de la riviere","Bouctouche","Lephare Des Svc. Communautaire","Robert Cantin","15","5067437380",,"Services","5067437370","NB",,"Social Services","8399","Social services, nec","Executive Directors",,,,,,,,,,,,,,,,"E4S3A7","-64.726537","46.467642"
1346,"233 regent st","Miramichi","Learning & Technology Ctr","Helena Waye",,,,"Services","5066245430","NB",,"Educational Services","8211","Elementary and secondary schools","Principal",,,,,,,,,,,,,,,,"E1V2M9","-65.567678","47.003306"
1347,"3609 route 205","St-franc-mada","Joel Bouchard",,,,,"Manufacturing",,"NB",,"Industrial and Commercial Machinery and Computer E","3531","Construction machinery",,,,,,,,,,,,,,,,,"E7A1S4","-68.803697","47.218900"
1348,"3567 rue principale","Tracadie","Centre De Benevolat De La Peninsule Acadienne",,,,,"Services",,"NB",,"Business Services","7361","Employment agencies",,,,,,,,,,,,,,,,,"E1X1C9","-64.910780","47.512806"
1349,"2149 ocean westway way","Saint john","Fundy Bay Motel","Sandy Gregg",,"5066723002",,"Services","5066723000","NB",,"Hotels, Rooming Houses, Camps, and Other Lodging","7011","Hotels and motels","Owner",,,,,,,,,,,,,,,,"E2M5H6","-66.149711","45.234283"
1350,"900 hanwell rd","Fredericton","Sport New-Nouveau Brunswick","Nicole Smith",,"5064511325",,"Services","5064511320","NB",,"Membership Organizations","8611","Business associations","Executive",,,,,,,,,,,,,,,,"E3B6A2","-66.685981","45.952503"
1351,"116 ellen st","Miramichi","House Of Natural Foods",,,,,"Retail Trade",,"NB",,"Food Stores","5499","Miscellaneous food stores",,,,,,,,,,,,,,,,,"E1V2N1","-65.565548","47.001644"
1352,"20 mcgloin st","Fredericton","New Brunswick Pesticides","John Antworth",,,,"Public Administration","5064445361","NB",,"Executive, Legislative & General Government, Exce","9121","Legislative bodies","Manager",,,,,,,,,,,,,,,,"E3A5T8","-66.589590","45.977166"
1353,"410 ammon rd","Ammon","Ship To Shore Diving & Engrng.","David Lewis",,"5063893486",,"Services","5063893483","NB",,"Business Services","7389","Business services, nec","Owner",,,,,,,,,,,,,,,,"E1G3N6","-64.835170","46.172708"
1354,"1814 water st","Miramichi","C","Jerome Mc Laughlin","1 to 4","5067789529","M","Services","5067736602","NB","Less than $500,000","Automotive Repair, Services and Parking","7538","General automotive repair shops","Owner",,,,,,,,,,,,,,,,"E1N1B7","-65.468789","47.031139"
1355,"Charters settlement","Fredericton","Touche's Roofing",,"1 to 4",,,"Construction","5064704320","NB","$500,000 to $1 million","Construction - Special Trade Contractors","1761","Roofing, siding, and sheetmetal work",,,,,,,,,,,,,,,,,,\N,\N
1356,"10 howard st","Miramichi","Saint Michael's Museum","John Connell","1 to 4",,"M","Services","5067785152","NB",,"Museums, Art Galleries and Botanical and Zoologic","8412","Museums and art galleries","Executive Director",,,,,,,,,,,,,,,,"E1N1V2","-65.465826","47.026754"
1357,"288 rue principale","Saint-basile","Classic Realty","Bernadette Lebel","3","5064581822",,"Services","5064537065","NB","500000","Personal Services","7231","Beauty shops","Owner",,,,,,,,,,,,,,,,"E7C1H9","-68.254941","47.359865"
1358,"13650 route 2","Jacksonville","Hayward's Potato House","Leighton Hayward","5 to 9",,"M","Wholesale Trade","5063283650","NB","$5 to 10 million","Wholesale Trade - Nondurable Goods","5148","Fresh fruits and vegetables","Owner",,,,,,,,,,,,,,,,"E7M3R7","-67.590833","46.222507"
1359,"486 rue principale","Neguac","K & M. Utility Lines Ltd.","Jean Guy Kenny",,"5067798217",,"Construction","5067794745","NB",,"Construction - Special Trade Contractors","1731","Electrical work","President",,,,,,,,,,,,,,,,"E9G1N1","-65.094408","47.239981"
1360,"301 campbell st","Miramichi","Harkins Elem. School","Sharon Mc Cracken","207","5066274037",,"Services","5066274087","NB",,"Educational Services","8211","Elementary and secondary schools","Principal",,,,,,,,,,,,,,,,"E1V1R4","-65.571317","47.003069"
1361,"3879 boul des fondateurs","Saint-isidore","Epicerie St-Isidore Ltee","Flora Richard",,,,"Retail Trade","5063582276","NB",,"Food Stores","5499","Miscellaneous food stores","Manager",,,,,,,,,,,,,,,,"E8M1C1","-65.104314","47.807572"
1362,"71 dawn cres","Moncton","Olive The Best Ltd.","Doug Mcnutt","3",,,"Retail Trade","5068663300","NB","500000","Food Stores","5499","Miscellaneous food stores","Manager",,,,,,,,,,,,,,,,"E1G1K9","-64.839179","46.120111"
1363,"175 main st","Bathurst","Studio Richard Intl Hair Dsgn","Richard Young","5 to 9",,"M","Services","5065460090","NB","Less than $500,000","Personal Services","7231","Beauty shops","Owner",,,,,,,,,,,,,,,,"E2A1A6","-65.655477","47.620703"
1364,"11 milltown blvd","St stephen","Phillips Furniture","Donald Phillips","1 to 4","5064666852","M","Retail Trade","5064666752","NB","$500,000 to $1 million","Home Furniture, Furnishings and Equipment Stores","5712","Furniture stores","Manager",,,,,,,,,,,,,,,,"E3L1G2","-67.277147","45.192642"
1365,"262 st. george st","Moncton","C A Variety Sales","Cindy Hyslop","5 to 9",,"F","Retail Trade","5068585094","NB","$1 to 2.5 million","Food Stores","5411","Grocery stores","Manager",,,,,,,,,,,,,,,,"E1C1W5","-64.785590","46.090569"
1366,"290 main st","Fredericton","Tim Hortons","Jennifer Noble","20 to 49","5064629955","F","Retail Trade","5064629955","NB","$2.5 to 5 million","Food Stores","5499","Miscellaneous food stores","Manager",,,,,,,,,,,,,,,,"E3A1C9","-66.648319","45.976092"
1367,"11 ritchie rd","Ritchie","Floyd Nicholson",,,,,"Manufacturing",,"NB",,"Lumber and Wood Products, Except Furniture","2411","Logging",,,,,,,,,,,,,,,,,"E6H1G8","-67.335677","45.959181"
1368,"6360 route 495","Sainte-marie-de-kent","Goguen Satellite Sales & Svc","Herve Goguen","1 to 4",,"M","Retail Trade","5069553150","NB","Less than $500,000","Home Furniture, Furnishings and Equipment Stores","5731","Radio, television, and electronic stores","Owner",,,,,,,,,,,,,,,,"E4S2A4","-64.852607","46.409384"
1369,"80 main st","Canterbury","Canterbury High","Steve Crandlemere","20 to 49","5062796001","M","Services","5062796000","NB",,"Educational Services","8211","Elementary and secondary schools","Principal",,,,,,,,,,,,,,,,"E6H1L3","-67.462991","45.897835"
1370,"1958 st. peter ave","Bathurst","West Side Motel","Diane Basque","1 to 4",,"F","Services","5065464846","NB","Less than $500,000","Hotels, Rooming Houses, Camps, and Other Lodging","7011","Hotels and motels","Owner",,,,,,,,,,,,,,,,"E2A7J6","-65.677545","47.650919"
1371,"221 ch escuminac point","Escuminac","Raymond O'neill & Son Fshrs","Raymond O'neill","100 to 249","5062284488","M","Manufacturing","5062284794","NB","$50 to 100 million","Food and Kindred Products","2091","Canned and cured fish and seafoods","Owner",,,,,,,,,,,,,,,,"E9A1V6","-64.877250","47.079345"
1372,"1201 mountain rd","Moncton","Sunset Tanning","Lanette Mc Nutt","1 to 4",,"F","Services","5063883365","NB","Less than $500,000","Personal Services","7299","Miscellaneous personal service","Owner",,,,,,,,,,,,,,,,"E1C2T4","-64.825959","46.107855"
1373,"45 rue des gouverneurs","Edmundston","Manoir Belzile","Guy Belzile","10 to 19","5067395939","M","Services","5067353513","NB","$500,000 to $1 million","Health Services","8051","Skilled nursing care facilities","Owner",,,,,,,,,,,,,,,,"E3V4E8","-68.310156","47.378863"
1374,"857 route 8","Taymouth","Cameron Auctioneers","Hugh Cameron","1 to 4","5063672264","M","Services","5063672055","NB","Less than $500,000","Business Services","7389","Business services, nec","President",,,,,,,,,,,,,,,,"E6C2B5","-66.612888","46.183864"
1375,"1-400 route 430","Big river","Boutique Signal Inc.","Simonne Chiasson","3",,,"Retail Trade","5065485602","NB","500000","Apparel and Accessory Stores","5621","Women's clothing stores","Manager",,,,,,,,,,,,,,,,"E2A6N6","-65.677780","47.559631"
1376,"295 main st","Florenceville","Village Fabrics & Crafts Ltd","Pam Smith","1 to 4",,"F","Retail Trade","5063928171","NB","$500,000 to $1 million","Miscellaneous Retail","5945","Hobby, toy, and game shops","Owner",,,,,,,,,,,,,,,,"E7L3G5","-67.618747","46.443166"
1377,"290 high st","Moncton","Liberty Subs","Gail Miller","5 to 9",,"F","Retail Trade","5068557489","NB","Less than $500,000","Eating and Drinking Places","5812","Eating places","Owner",,,,,,,,,,,,,,,,"E1C6C3","-64.792583","46.093381"
1378,"5-10 timothy ave n","Hanwell","Canteen Of Canada","Richard Patterson","3",,,"Retail Trade","5064529189","NB","533000","Miscellaneous Retail","5962","Merchandising machine operators","Manager",,,,,,,,,,,,,,,,"E3C2B8","-66.714656","45.928123"
1379,"318 rue canada","Saint-quentin","Sandwicherie","Sylvia Moreau","5 to 9","5062353137","F","Retail Trade","5062353620","NB","Less than $500,000","Eating and Drinking Places","5812","Eating places","Owner",,,,,,,,,,,,,,,,"E8A1H6","-67.392074","47.520331"
1380,"53 front st","Gagetown","K & W. Quality Meats","Ross Wetmore",,"5064881053",,"Retail Trade","5064886328","NB",,"Food Stores","5421","Meat and fish markets","Owner",,,,,,,,,,,,,,,,"E5M1A3","-66.133607","45.751631"
1381,"182 parr st","St andrews","Step Back Antiques","Philip Thompson","1 to 4",,"M","Retail Trade","5065299082","NB","Less than $500,000","Miscellaneous Retail","5932","Used merchandise stores","Owner",,,,,,,,,,,,,,,,"E5B1M2","-67.051889","45.077060"
1382,"884 route 776","Grand manan","Northeast Salmon Inc","Dale Russell","10 to 19","5066628393","M","Agriculture, Forestry, And Fishing","5066628311","NB","Less than $500,000","Agricultural Production - Livestock and Animal Spe","273","Animal aquaculture","Owner",,,,,,,,,,,,,,,,"E5G4L2","-66.772650","44.685210"
1383,"South tetagouche","Bathurst","Paroisse Ste Marie Madeleine",,"1 to 4",,,"Services","5065489675","NB",,"Membership Organizations","8611","Business associations",,,,,,,,,,,,,,,,,,\N,\N
1384,"1990 tamarack st","Beardsley","Maritime Lumber Ltd","Cyril Ross","20 to 49","5063284639","M","Wholesale Trade","5063289931","NB",,"Wholesale Trade - Durable Goods","5031","Lumber, plywood, and millwork","Owner",,,,,,,,,,,,,,,,,\N,\N
1385,"121-85 foundry st","Moncton","Diane Duguay","Diane Duguay","3","5068574233",,"Services","5068570156","NB","500000","Health Services","8042","Offices and clinics of optometrists",,,,,,,,,,,,,,,,,"E1C5H7","-64.781095","46.087145"
1386,"197j d gauthier","Shippagan","Dollys",,,,,"Services",,"NB",,"Amusement and Recreation Services","7999","Amusement and recreation, nec",,,,,,,,,,,,,,,,,"E8S1M9","-64.714335","47.744687"
1387,"580 main st #105","Saint john","Coast Tire & Auto","Ron Outerbridge","20 to 49","5066749666","M","Retail Trade","5066749652","NB","$2.5 to 5 million","Automotive Dealers and Gasoline Service Stations","5531","Auto and home supply stores","Chief Executive Officer",,,,,,,,,,,,,,,,"E2K1J5","-66.072414","45.276060"
1388,"350 st. george st","Bathurst","Services De Traitement","Kenneth Doucet","5 to 9","5065477415","M","Services","5065472086","NB","$500,000 to $1 million","Business Services","7389","Business services, nec","Executive Director",,,,,,,,,,,,,,,,"E2A1B9","-65.649988","47.619907"
1389,"401-53 king st","Saint john","Business Stop","Carol Connell","1","5066480281",,"Finance, Insurance, And Real Estate","5066338767","NB","430000","Real Estate","6512","Nonresidential building operators","Owner",,,,,,,,,,,,,,,,"E2L1G5","-66.059055","45.273656"
1390,"3 rue de l'ecole","Kedgwick","Restigouche Transport Ltee",,"5 to 9",,,"Transportation, Communications, Electric, Gas, An","5062841122","NB","$1 to 2.5 million","Motor Freight Transportation","4213","Trucking, except local",,,,,,,,,,,,,,,,,"E8B1B5","-67.344636","47.647885"
1391,"3901 boul des fondateurs","Saint-isidore","Balance & Equipement Culinaire",,"5 to 9",,,"Wholesale Trade","5063581999","NB","$2.5 to 5 million","Wholesale Trade - Durable Goods","5046","Commercial equipment, nec",,,,,,,,,,,,,,,,,"E8M1C1","-65.104314","47.807572"
1392,"110 plaza blvd #84","Dalhousie","Pharmasave","Mark Hines","10 to 19","5066845145","M","Retail Trade","5066843381","NB","$2.5 to 5 million","Miscellaneous Retail","5912","Drug stores and proprietary stores","Manager",,,,,,,,,,,,,,,,"E8C2E2","-66.399269","48.041421"
1393,"87 main st","Sackville","Century 21 Royal Assoc","Grace Nelson","1 to 4","5063648016","F","Finance, Insurance, And Real Estate","5063640021","NB","Less than $500,000","Real Estate","6531","Real estate agents and managers","Manager",,,,,,,,,,,,,,,,"E4L4A9","-64.369655","45.896024"
1394,"183 boul j d gauthier","Shippagan","Centre De Ressources De Vie","Chantal Duguay",,,,"Services","5063361304","NB",,"Membership Organizations","8699","Membership organizations, nec","President",,,,,,,,,,,,,,,,"E8S1M8","-64.716205","47.744601"
1395,"527 queen st","Fredericton","Chiasson Janitor Svc. Ltd.","Robert Mcfee","3",,,"Services","5063874117","NB","500000","Amusement and Recreation Services","7999","Amusement and recreation, nec","Owner",,,,,,,,,,,,,,,,"E3B1B8","-66.640306","45.961666"
1396,"1 factory lane","Moncton","Canada Parole District Office",,,,,"Public Administration","5068516350","NB",,"Executive, Legislative & General Government, Exce","9121","Legislative bodies",,,,,,,,,,,,,,,,,"E1C9M3","-64.769901","46.092983"
1397,"H1-515 westmorland rd","Saint john","Sherri Brooks","Sherri Brooks","7",,,"Retail Trade","5066523990","NB","1500000","Apparel and Accessory Stores","5641","Children's and infants' wear stores","Manager",,,,,,,,,,,,,,,,"E2J3T1","-66.017063","45.309069"
1398,"292 route 280","Dundee","Coin-Des-Amis Ecole","Johanne Lepage","10 to 19",,"F","Services","5068266010","NB",,"Educational Services","8211","Elementary and secondary schools","Principal",,,,,,,,,,,,,,,,"E8E1Y6","-66.474783","48.004606"
1399,"1 de la montagne","Edmundston","Gite Du Chemineau","Charles Perkison","1 to 4",,"M","Finance, Insurance, And Real Estate","5067359928","NB","$500,000 to $1 million","Real Estate","6513","Apartment building operators","Manager",,,,,,,,,,,,,,,,,\N,\N
1400,"365 pacific ave","Moncton","Corbel Building Systems Ltd","Warren Hansen","1 to 4","5068573116","M","Construction","5068571740","NB","$1 to 2.5 million","Building Cnstrctn - General Contractors & Operativ","1521","Single-family housing construction","Owner",,,,,,,,,,,,,,,,"E1E2G7","-64.807585","46.090155"
1401,"1055 manawagonish rd","Saint john","Kierstead Mobile Homes Sales","Violet Kierstead","1 to 4",,"F","Finance, Insurance, And Real Estate","5066722719","NB","$500,000 to $1 million","Real Estate","6515","Mobile home site operators","Owner",,,,,,,,,,,,,,,,"E2M3X5","-66.111872","45.248211"
1402,"749 river valley dr","Grand bay-westfield","River Valley Community Ctr",,"10 to 19","5067382858",,"Services","5067388222","NB","$500,000 to $1 million","Amusement and Recreation Services","7997","Membership sports and recreation clubs",,,,,,,,,,,,,,,,,"E5K1B6","-66.195949","45.320426"
1403,"346 queen st","Fredericton","O'toole Shawn Lawyer","Shawn O'toole",,"5064541999",,"Services","5064541999","NB",,"Legal Services","8111","Legal services",,,,,,,,,,,,,,,,,"E3B1B2","-66.642999","45.962829"
1404,"45 main st","St martins","Weslan Inn","Katherine Van Weston","1 to 4",,"F","Services","5068332351","NB","Less than $500,000","Hotels, Rooming Houses, Camps, and Other Lodging","7011","Hotels and motels","Owner",,,,,,,,,,,,,,,,"E5R1B4","-65.550525","45.350927"
1405,"8 brunswick st #129","St george","Cooperators Insurance","David Craig","1 to 4","5067556627","M","Finance, Insurance, And Real Estate","5067553994","NB","$500,000 to $1 million","Insurance Agents, Brokers and Service","6411","Insurance agents, brokers, and service","Owner",,,,,,,,,,,,,,,,,\N,\N
1406,"185 claremont dr","Fredericton","Cowperthwaite Apartment Rental","Albert Cowperthwaite","10 to 19","5064728554","M","Finance, Insurance, And Real Estate","5064528807","NB","$2.5 to 5 million","Real Estate","6513","Apartment building operators","Owner",,,,,,,,,,,,,,,,"E3A1E7","-66.692260","45.978623"
1407,"54 hillcourt dr","Fredericton","Nabats","Peter Laferty","1 to 4",,"M","Finance, Insurance, And Real Estate","5064570906","NB","$1 to 2.5 million","Depository Institutions","6021","National commercial banks","Owner",,,,,,,,,,,,,,,,"E3A1S1","-66.652918","45.977121"
